Sample Number,Date event 1,Tap Stand ID,Time event 1,FRC (mg/l),TRC (mg/l),Temp (Cent) ,Container,Cont.Colour,Cont.Opacity,Cont.Covered,Cont.Clean,HH Ident,Same Cont.,Same Water,How full (%),Method Drawing,Cont.type,Cont.colour,Cont.opacity,Cont.covered,Cont.Clean,Cont.outside,Date event 2,Time vent 2,FRC (mg/l),TRC (mg/l),Temp (Cent),Time Substract,Time Elapsed,FRC (Tap-HH),TRC (Tap-HH)
26,08-Sep-16,43,11:50,0.56,0.68,30,Jerry can,White,Translucent,Yes,No,2C/8/003,Yes,Yes,98,Pour out,Jerry Can,White,Translucent,Yes,No,No,09-Sep-16,10:30,0.53,0.54,30,22:40:00,22.66666667,0.03,0.14
27,08-Sep-16,43,11:28,0.51,0.66,30,Jerry can,White,Translucent,No,Yes,2D/1/002,Yes,No,90,Pour out,Jerry Can,White,Translucent,No,Yes,No,09-Sep-16,10:57,0.52,0.66,30,23:29:00,23.48333333,-0.01,0
28,08-Sep-16,44,11:07,0.65,0.72,30,Bucket,White,Opaque,Yes,No,2B/EXT/1/006,Yes,Yes,95,Dip Glass,Bucket,White,Opaque,Yes,No,No,09-Sep-16,9:00,0.37,0.49,30,21:53:00,21.88333333,0.28,0.23
29,08-Sep-16,44,10:26,0.58,0.6,30,Bucket,Red,Opaque,No,Yes,6B/1/006,Yes,Yes,15,Dip Glass,Bucket,Red,Opaque,No,Yes,No,09-Sep-16,10:07,0.03,0.04,30,23:41:00,23.68333333,0.55,0.56
30,08-Sep-16,44,10:43,0.64,0.66,30,Bucket,White,Opaque,Yes,Yes,6D/1/001,Yes,Yes,60,Dip Glass,Bucket,White,Opaque,Yes,Yes,No,09-Sep-16,9:51,0.42,0.45,30,23:08:00,23.13333333,0.22,0.21
31,08-Sep-16,72,16:52,0.78,0.84,30,Bucket,White,Opaque,Yes,Yes,7N/1/003,No,No,0,,Bucket,Blue,Opaque,No,No,Yes,09-Sep-16,11:40,0,0,30,18:48:00,18.8,0.78,0.84
32,08-Sep-16,72,16:58,0.65,0.66,30,Jerry can,White,Translucent,Yes,Yes,7M/3/006,Yes,Yes,85,Pour out,Jerry Can,White,Translucent,Yes,Yes,No,09-Sep-16,15:01,0.4,0.41,30,22:03:00,22.05,0.25,0.25
33,08-Sep-16,72,17:05,0.64,0.67,30,Jerry can,Yello,Opaque,No,No,7M/3/008,Yes,Yes,25,Pour out,Jerry Can,Yellow,Opaque,No,No,No,09-Sep-16,11:42,0.07,0.14,30,18:37:00,18.61666667,0.57,0.53
34,09-Sep-16,70,15:49,1.11,1.12,30,Bucket,Green,Translucent,No,No,7L/2/008,Yes,Yes,90,Dip Glass,Bucket,Green,Opaque,No,,No,10-Sep-16,9:03,0.8,0.84,30,17:14:00,17.23333333,0.31,0.28
35,09-Sep-16,70,15:27,1.27,1.65,30,Bucket,White,Opaque,Yes,Yes,7T//1/005,Yes,Yes,7,Dip Glass,Bucket,White,Opaque,No,Yes,No,10-Sep-16,9:10,0.31,0.36,30,17:43:00,17.71666667,0.96,1.29
